,,,,,,
Clinical Condition,Common Pathogens,Empirical AMA,Alternate AMA,Comments,Duration,Remarks
"Urosepsis/
Pyeloneph
ritis","E. coli,
Enterococcus
spp., Klebsiella
spp., Proteus spp.,","Cefoperazone
sulbactam(2:1) 3g IV
q12h OR
Ertapenem 1g q24h","Meropenem 1g IV q8h
OR
Imipenem 500mg q6h","Nitrofurantoin to
be used only for
uncomplicated
cystitis",10-14 days,
"Severe Pyelonephritis/
emphysem
atous Pyelonephritis/
perinephric
abscess","E. coli, klebsiella,
pseudomonas,
proteus, strep
spp.
Anaerobes","Meropenem 1-2g IV
q8h OR
Imipenem 1gm q6-8h
OR Doripenem 500mg
q8h","Colistin 9mU loading
doses followed by
4.5mU q12h +
carbapenem OR
Fosfomycin 12-16g/day
in 3 divided doses","Surgical source
control advised","3-4 weeks depending on Surgical source control advised
response to treatment ",Surgical source control advised
Intra-abdominal Sepsis,"E. coli, Klebsiella
spp., Proteus spp.
Pseudomonas spp,
Enterococcus spp,
Candidia spp","Piperacillin
tazobactam 4.5g IV 6-
8h OR
Meropenem 1-2g IV
q8h OR
Imipenem 1gm q6-8h
OR Doripenem 500mg
q8h","Tigecycline 200mg
loading dose followed
by 100mg IV q12h +/-
Polymixin B IV 15 lac
units LD followed by 5
lac units q8h","Surgical source
control where
possible
Fluconazole/
echinocandin if
risk of IA
candidiasis
Anaerobic cover
needed if
ceftazidime
avibactam used",5-14 days,"Depending on extent of source
control & response to treatment"
"Catheter
related
bloodstream
infection","Staph aureus,
CONS,
Enterobacteriace
ae,Pseudomonas
aeruginosa,
Candida spp","Cefoperazone
sulbactam(2:1) 3g IV
q12h OR
Piperacillin tazobactam
4.5g IV6-8h
+ Vancomycin
15mg/kg IV 12h OR
Teicoplanin 12mg/kg
q12h x 3 doses
followed by 6mg/kg/d","Meropenem 1-2g IV
q8h OR
Imipenem 1gm q6-8h
OR Doripenem 500mg
q8h +/-
polymixin based on
risk factors for CRE
+ Vancomycin/
teicoplanin","Catheter removal
especially for
staph aureus,
candida spp.
ALT where
appropriate for
catheter salvage",10-14 days,
"Community
acquired
meningitis","S. pneumonia, N.
meningitides,
H.influenzae,
GBS, listeria
monocytogenes","Ceftriaxone 2g IV q12h
OR cefotaxime 2g IV
q4-6h +
Vancomycin 25-
30mg/kg LD followed
by 15mg/kg IV q8h +/-
Ampicillin 2g IV q4h (if
Age>60)
If any suggestion of
encephalitis, to add
acyclovir 10mg/kg tds
for 2-3 weeks","Meropenem 2gIV q8h
+ Vancomycin +/-
Ampicillin (if Age>60)","Dexamethasone
10mg IVq6h 15-
20mins prior
to/simultaneously
with 1st dose of
antibiotic-(to
continue for 4
days if S.
pneumonia
established/
cultures negative)","Strep pneumonia- 10-14d
N. meningitidis/ H influenzae-
7 days
Listeria monocytogenes- 21
days
HSV- 14-21 days",
"Post
neurosurgical
meningitis/
shunt
infection","Staph aureus,
MRSA, CONS,
GNB","Meropenem 2gIV q8h
+ Vancomycin 25-
30mg/kg LD followed
by 15mg/kg IV q8h","CRE risk factors: add
Polymyxin b/ colistin
MRSA Alternatives:
Linezolid/ Daptomycin
10mg/kg/d","Consider removal
of shunts/ devices
Intraventricular/
intrathecal
antibiotics may be
used (ID consult
advised)",14-21 days,"For patients with repeatedly
positive CSF cultures on appropriate
antibiotics, treatment should be
continued for 10 to 14 days
following the last positive culture"
"Brain
abscess","Polymicrobial,
strep, staph,
enterococcus
GNB, anaerobes
(nocardia spp.,
fungal in
susceptible hosts)","Ceftriaxone 2g IV q12h
OR
Cefotaxime 2g Ivq6h +
metronidazole 500mg
q8h
+/- Vancomycin 25-
30mg/kg LD followed
by 15mg/kg IV q8h","Meropenem 2g IV q8h
+/- Vancomycin 25-
30mg/kg LD followed
by 15mg/kg IV q8h","Surgical drainage
advised","4-6 weeks if surgical drainage
done
6-8 weeks without drainage","Clinical and radiological resolution
to be documented before
stopping treatment"
Invasive Candidiasis,"Azole-susceptible
species
C. albicans
C. tropicalis
C. parapsilosis
Azole-resistant
species:
C. glabrata
C. krusei
C. auris
(ID consult
advised)","Fluconazole IV 800
mg (12 mg/kg) loading
dose, then 400 mg (6
mg/kg) daily as initial
therapy in patients
who are not critically
ill or who are
considered unlikely to
have a fluconazoleresistant
Candida
species","Echinocandin
(caspofungin: loading
dose 70 mg, then 50
mg daily; micafungin:
100-150 mg daily;
anidulafungin: loading
dose 200 mg, then
100 mg daily) for
critically ill patients or
if azole resistant
Candida spp.
Suspected","Transition from
echinocandin to
fluconazole in 5-7
days if clinically
stable with
susceptible
isolate on culture
& negative repeat
blood cultures
2D Echo/
fundoscopy to
rule out metastatic","14 days after the 1st negative
blood culture","Endocarditis/ chorioretinitis/
septic arthritis/osteomyelitis
require longer courses"
"Febrile
neutropenia","Gram-negative
pathogens
Enterobacteriaceae
Pseudomonas
aeruginosa
Acinetobacter spp
Stenotrophomon
as maltophilia
Gram-positive
pathogens
CONS, Staph
aureus including
MRSA,
Enterococcus spp,
including VRE,
Strep spp.
Fungi
Candida spp
Moulds
Opportunistic
pathogens","Piperacillin
tazobactam 4.5g IV
q6-8h OR
Meropenem 2g q8h
OR
Imipenem 1g q6-8h
OR
Doripenem 500mg-1g
q8h +/-
Vancomycin 15mg/kg
IV 12h OR Teicoplanin
12mg/kg/d q12h x 3
doses followed by
12mg/kg/d +/-
Appropriate antifungal
(if judged necessary)
Echinocandin/LAmb/
Posaconazole/Voricon
azole (ID consult
advised)","CRE Risk factors:
Polymixin B IV 15 lac
units SD followed by 5
lac units q8h/ Colistin
9mU SD followed by
4.5mU 12hrly
Ceftazidime avibactam
+ Aztreonam (ID
consult advised)","Polymixin B to be
started
empirically if
stool CRE screen
positive","Discontinue antibiotic if no
source identified & patient has
been afebrile for at least two
days and ANC is ≥500
cells/microL with a
consistently increasing trend","If source identified, treat as per
site of infection"
"Malignant
otitis
externa",P aeruginosa,Ceftazidime 2g IV q8h,"Piperacillin
tazobactam 4.5g IV
q8h OR
Ciprofloxacin 750 PO
BD","Imaging to rule
out mastoiditis,
skull base OM",,
"Deep Neck
Space Infection
(paratonsillar,
parapharyngeal,
retropharyngeal
etc.)","VGS, oral
anaerobes, Strep
spp., Hemophilus
influenzae,
Moraxella spp.
staph aureus,
(pseudomonas
spp, GNB- in
immunosuppresse
d/ otogenic, head
and neck spread
of infection)","Ceftriaxone 2g IV q24h
OR
Ampicillin sulbactam
3g IV q6h +
Clindamycin 600mg
q8h OR
Metronidazole 500mg
q8h","If risk factors for GNB:
Piperacillin
tazobactam 4.5g IV
q8h OR
Meropenem 2g IV q8h
OR Imipenem 1 g IV
q6-8h
MRSA risk factors: Add
Vancomycin/
Linezolid/ Clindamycin","Surgical drainage
advised",2-3 weeks,"Longer courses for infections
involving bone/ vascular
structures"
"Acute
Osteomyel
itis/ Septic
arthritis
Prosthetic
Joint
Infection/
Implant
associated
Infections","Staph aureus/
Strep spp.
Implant
associated:
MRSA, GNB,
pseudomonas,
NTM","Cloxacillin 2g IV q4h
OR Flucloxacillin 2g IV
6-8h OR Cefazolin 2g
IV q8h
MRSA Risk factors:
Vancomycin 25-50mg/
kg loading followed by
15 mg/kg 8-12 hr OR
Teicoplanin 12mg/kg/d
q12h x 3 doses followed
by 12mg/kg/d
GNB Risk Factors:
Piperacillin tazobactam
4.5g IV q6-8h OR
Meropenem 1-2g IV
q8h OR Imipenem
500mg IV q6-8h","Ceftriaxone 2g IV q24h
OR
Clindamycin 600mg
q8h
MRSA Risk factors:
Daptomycin
10mg/kg/d
CRE Risk Factors:
Polymyxin B OR
Tigecycline OR
Fosfomycin
(ID consult advised)","Surgical
debridement
advised
Empirical
treatment to be
deferred until
sample obtained
for culture
Removal of
hardware to be
considered","Acute OM: 4 weeks, Prosthetic Joint/ Implant
associated infection: Staph aureus 8-10 weeks
Others 6 weeks
Joint/Implant retention/ fungal
OM- 6 months
",
Enteric fever,"S typhi- 95%
resistance to
nalidixic acid,
10% resistance to
Amp/Chlor/CTX
S para A","Ceftriaxone 2gm q12h
14 days
OR
Azithromycin 1g 5-7
days OR
Cefixime 400mg TDS
14 days","Chloramphenicol,
TMP SMX, high dose
amoxicillin","Monitor QTc
interval with high
dose
azithromycin",,
Dysentery,"Shigella
Campylobacter
spp.
Salmonella
species
Entamoeba
hystolytica","Ciprofloxacin 500mg
BD
Metronidazole 500mg
8h 7-10d plus
Luminal agent
(Diloxanide furoate
500mg TDS 10d)","Ceftriaxone 1gm q12h
Nitazoxanide 500mg
BD 3d plus
Luminal agent
(Diloxanide furoate
500mg TDS 10d)",,,
"Liver
abscess","GNB, Anaerobes,
Enterococci/ E
histolytica","Piperacillin
tazobactam 4.5g 6-8 h
OR Cefoperazone
sulbactam (2:1) 3g
q12h plus
metronidazole 500 mg
q8h","Carbapenem +
Metronidazole","Surgical drainage
when indicated
For Amoebic
abscess add
(Diloxanide furoate
500mg TDS 20d)","Pyogenic 4-6 weeks
Amoebic 7 days followed by
luminal agent for 20 days","2-4 weeks with good surgical
drainage"
